1999	01	03	BF	GA	2	1	F		9	1387	1445	+3	−1	111	92
1999	01	24	AO	GA	3	1	FQ		19	1492	1426	+1	−9	78	100
1999	02	20	GA	BF	1	1	F		-3	1423	1431	0	+1	100	97
1999	02	27	ZA	GA	4	1	FQ		9	1660	1414	+1	−2	46	102
1999	04	10	GA	ZA	1	0	FQ		28	1442	1632	+11	−3	92	52
1999	06	06	GA	AO	3	1	FQ		22	1464	1425	+10	−10	83	98
1999	06	20	GA	MU	2	2	FQ	RE	-12	1452	1230	−9	+1	92	149
1999	10	30	CI	GA	0	1	F		-16	1574	1468	−5	+7	60	86
1999	11	07	GA	GQ	4	0	UFC		4	1472	1063	+2	0	84	178
1999	11	10	GA	CF	1	0	UFC		5	1477	1239	+2	−1	82	146
1999	11	11	GA	ST	1	0	UFC		1	1478	1005	+1	0	81	185
1999	11	13	GA	CG	0	0	UFC		-8	1470	1434	−3	+5	84	97
1999	11	14	GA	TD	2	0	UFC		10	1480	1273	+3	−2	81	138
1999	11	21	GA	NG	0	2	F		-11	1469	1694	−3	+3	84	38
1999	11	27	GA	TG	0	0	GRC		-8	1461	1372	−5	+1	89	113
1999	11	28	GA	BF	3	2	GRC		10	1471	1429	+5	−6	84	99
1999	12	23	LY	GA	2	0	ARR		17	1473	1454	+7	−6	83	90
1999	12	27	GA	TG	3	2	ARR	LY	11	1465	1347	+1	−4	89	120
2000	01	06	EG	GA	4	0	F		7	1638	1458	+1	−1	48	90
2000	01	09	BF	GA	1	1	F		-2	1421	1460	−1	0	102	90
2000	01	23	ZA	GA	3	1	AR	GH	19	1669	1441	+2	−1	42	91
2000	01	29	DZ	GA	3	1	AR	GH	33	1512	1408	+8	−14	72	106
2000	02	02	CD	GA	0	0	AR	GH	-7	1496	1415	0	+4	77	101
2000	04	08	MG	GA	2	0	WQ		21	1444	1394	+8	−6	93	109
2000	04	22	GA	MG	1	0	WQ		17	1411	1427	+2	−5	106	98
2000	06	23	GA	CG	0	2	F		-19	1392	1444	−3	+6	108	93
2000	06	25	GA	CG	2	3	F		-11	1381	1455	−2	+6	110	87
2000	07	01	ST	GA	1	1	FQ		11	1079	1370	+3	−3	178	113
2000	07	15	GA	ST	4	1	FQ		7	1377	1072	+1	−3	111	181
2000	09	02	GA	MA	2	0	FQ		48	1425	1666	+13	−8	98	45
2000	10	07	TN	GA	4	2	FQ		9	1639	1416	+2	0	53	99
2001	01	13	KE	GA	2	1	FQ		19	1358	1397	+2	−4	117	108
2001	03	18	GA	ML	2	0	F		12	1409	1408	+4	−7	104	106
2001	03	24	GA	KE	1	1	FQ		-8	1401	1375	−1	+1	106	116
2001	06	02	GA	TN	1	1	FQ		7	1408	1628	0	−2	106	55
2001	06	16	MA	GA	0	1	FQ		-36	1667	1444	−11	+13	47	91
2002	08	25	AO	GA	1	0	F		6	1501	1438	+1	−3	75	94
2002	09	01	CG	GA	0	0	F		0	1350	1438	0	−1	123	95
2002	09	07	GA	MA	0	1	FQ		-16	1422	1629	−9	+2	103	50
2002	10	12	SL	GA	2	0	FQ		32	1336	1390	+5	−9	128	112
2003	03	29	GA	GQ	4	0	FQ		4	1394	1008	−1	0	109	187
2003	05	31	GA	AO	1	1	F		-1	1393	1468	0	0	109	88
2003	06	08	GQ	GA	2	1	FQ		34	1042	1359	+3	−11	185	120
2003	06	13	AD	GA	0	2	F		-7	1054	1366	0	+1	181	119
2003	06	20	MA	GA	2	0	FQ		10	1566	1356	+1	−2	64	121
2003	07	06	GA	SL	2	0	FQ		21	1377	1333	+7	−6	113	128
2003	09	24	DZ	GA	2	2	FT		-9	1492	1386	−4	+2	80	112
2003	09	26	GA	BJ	4	0	FT	DZ	25	1411	1319	+7	−3	105	128
2003	10	12	BI	GA	0	0	WQA		3	1265	1408	+1	0	140	106
2003	11	08	GA	BF	0	0	F		-2	1406	1439	+1	0	104	96
2003	11	15	GA	BI	4	1	WQA		14	1420	1251	+2	−4	102	144
2003	12	05	CG	GA	3	2	CMC		18	1381	1402	+3	−5	114	108
2003	12	09	CG	GA	1	1	CMC		-4	1377	1406	−1	0	115	108
2003	12	11	CF	GA	2	0	CMC	CG	47	1231	1359	+6	−9	149	118
2003	12	13	CG	GA	1	0	CMC		13	1390	1346	+2	−5	111	123
2004	05	29	EG	GA	2	0	F		2	1678	1344	+1	0	43	125
2004	06	05	GA	ZW	1	1	WQA		2	1346	1478	+1	0	124	83
2004	06	19	RW	GA	3	1	WQA		21	1375	1325	+4	−3	115	125
2004	07	03	GA	AO	2	2	WQA		5	1330	1514	+2	−2	123	77
2004	09	05	DZ	GA	0	3	WQA		-56	1422	1386	−17	+12	102	111
2004	10	02	GA	BJ	2	0	F		7	1393	1283	+3	−1	106	134
2004	10	09	GA	NG	1	1	WQA		15	1408	1801	+3	0	103	22
2005	02	03	GA	CF	4	0	CMC		13	1421	1218	+1	−1	99	149
2005	02	08	GA	CG	1	0	CMC		14	1435	1392	+3	−3	96	104
2005	02	10	GA	TD	2	3	CMC		-32	1403	1318	−7	+9	102	126
2005	02	12	GA	CG	2	1	CMC		14	1417	1378	+2	−1	100	105
2005	03	19	GA	CG	0	0	F		-4	1413	1370	−1	+1	99	110
2005	03	26	NG	GA	2	0	WQA		4	1756	1409	0	−1	31	100
2005	06	01	ZM	GA	1	0	F	ZA	8	1500	1401	+2	0	82	102
2005	06	05	ZW	GA	1	0	WQA		8	1538	1393	0	−1	71	102
2005	06	18	GA	RW	3	0	WQA		22	1415	1333	+1	−9	100	122
2005	09	04	AO	GA	3	0	WQA		17	1534	1398	+6	−3	73	103
2005	10	08	GA	DZ	0	0	WQA		-5	1393	1407	+1	+1	102	100
